YEAR  MO  DA  HR      LAT       LON   CO2 10000
2012   2   1  12  38.4747  -81.8211  0.5347E-12
2012   2   1  12  38.5247  -81.8211  0.1383E-13
2012   2   1  12  38.4747  -81.7711  0.4457E-13
2012   2   1  12  38.5247  -81.7711  0.7088E-12
2012   2   1  12  38.5747  -81.7711  0.1169E-13
2012   2   1  12  38.5247  -81.7211  0.1984E-12
2012   2   1  12  38.5747  -81.7211  0.4034E-12
2012   2   1  12  38.6247  -81.7211  0.1036E-13
2012   2   1  12  38.5247  -81.6711  0.4726E-14
2012   2   1  12  38.5747  -81.6711  0.3052E-12
2012   2   1  12  38.6247  -81.6711  0.2016E-12
2012   2   1  12  38.6747  -81.6711  0.7250E-14
2012   2   1  12  38.5747  -81.6211  0.6844E-13
2012   2   1  12  38.6247  -81.6211  0.2834E-12
2012   2   1  12  38.6747  -81.6211  0.1054E-12
2012   2   1  12  38.7247  -81.6211  0.4953E-14
2012   2   1  12  38.5747  -81.5711  0.1450E-13
2012   2   1  12  38.6247  -81.5711  0.1331E-12
2012   2   1  12  38.6747  -81.5711  0.2092E-12
2012   2   1  12  38.7247  -81.5711  0.5886E-13
2012   2   1  12  38.7747  -81.5711  0.2667E-14
2012   2   1  12  38.5747  -81.5211  0.3195E-14
2012   2   1  12  38.6247  -81.5211  0.5579E-13
2012   2   1  12  38.6747  -81.5211  0.1386E-12
2012   2   1  12  38.7247  -81.5211  0.1372E-12
2012   2   1  12  38.7747  -81.5211  0.3871E-13
2012   2   1  12  38.8247  -81.5211  0.2642E-14
2012   2   1  12  38.5747  -81.4711  0.9470E-15
2012   2   1  12  38.6247  -81.4711  0.2620E-13
2012   2   1  12  38.6747  -81.4711  0.9393E-13
2012   2   1  12  38.7247  -81.4711  0.1262E-12
2012   2   1  12  38.7747  -81.4711  0.8476E-13
2012   2   1  12  38.8247  -81.4711  0.2256E-13
2012   2   1  12  38.8747  -81.4711  0.2249E-14
2012   2   1  12  38.5747  -81.4211  0.7609E-15
2012   2   1  12  38.6247  -81.4211  0.1179E-13
2012   2   1  12  38.6747  -81.4211  0.5745E-13
2012   2   1  12  38.7247  -81.4211  0.1010E-12
2012   2   1  12  38.7747  -81.4211  0.1062E-12
2012   2   1  12  38.8247  -81.4211  0.6193E-13
2012   2   1  12  38.8747  -81.4211  0.1372E-13
2012   2   1  12  38.9247  -81.4211  0.9926E-15
2012   2   1  12  38.5747  -81.3711  0.5665E-15
2012   2   1  12  38.6247  -81.3711  0.7107E-14
2012   2   1  12  38.6747  -81.3711  0.3187E-13
2012   2   1  12  38.7247  -81.3711  0.7101E-13
2012   2   1  12  38.7747  -81.3711  0.9427E-13
2012   2   1  12  38.8247  -81.3711  0.8239E-13
2012   2   1  12  38.8747  -81.3711  0.3950E-13
2012   2   1  12  38.9247  -81.3711  0.9116E-14
2012   2   1  12  38.9747  -81.3711  0.9982E-15
2012   2   1  12  38.5747  -81.3211  0.3777E-15
2012   2   1  12  38.6247  -81.3211  0.5055E-14
2012   2   1  12  38.6747  -81.3211  0.2030E-13
2012   2   1  12  38.7247  -81.3211  0.4671E-13
2012   2   1  12  38.7747  -81.3211  0.7654E-13
2012   2   1  12  38.8247  -81.3211  0.7511E-13
2012   2   1  12  38.8747  -81.3211  0.5944E-13
2012   2   1  12  38.9247  -81.3211  0.2876E-13
2012   2   1  12  38.9747  -81.3211  0.5595E-14
2012   2   1  12  39.0247  -81.3211  0.9846E-15
2012   2   1  12  38.5747  -81.2711  0.1888E-15
2012   2   1  12  38.6247  -81.2711  0.2998E-14
2012   2   1  12  38.6747  -81.2711  0.1502E-13
2012   2   1  12  38.7247  -81.2711  0.3081E-13
2012   2   1  12  38.7747  -81.2711  0.6280E-13
2012   2   1  12  38.8247  -81.2711  0.6876E-13
2012   2   1  12  38.8747  -81.2711  0.6855E-13
2012   2   1  12  38.9247  -81.2711  0.4826E-13
2012   2   1  12  38.9747  -81.2711  0.2166E-13
2012   2   1  12  39.0247  -81.2711  0.2668E-14
2012   2   1  12  39.0747  -81.2711  0.2454E-15
2012   2   1  12  38.5747  -81.2211  0.3777E-15
2012   2   1  12  38.6247  -81.2211  0.2058E-14
2012   2   1  12  38.6747  -81.2211  0.9788E-14
2012   2   1  12  38.7247  -81.2211  0.2452E-13
2012   2   1  12  38.7747  -81.2211  0.4330E-13
2012   2   1  12  38.8247  -81.2211  0.6672E-13
2012   2   1  12  38.8747  -81.2211  0.5990E-13
2012   2   1  12  38.9247  -81.2211  0.4634E-13
2012   2   1  12  38.9747  -81.2211  0.3883E-13
2012   2   1  12  39.0247  -81.2211  0.1336E-13
2012   2   1  12  39.0747  -81.2211  0.1830E-14
2012   2   1  12  38.5747  -81.1711  0.1888E-15
2012   2   1  12  38.6247  -81.1711  0.2068E-14
2012   2   1  12  38.6747  -81.1711  0.6109E-14
2012   2   1  12  38.7247  -81.1711  0.1732E-13
2012   2   1  12  38.7747  -81.1711  0.3115E-13
2012   2   1  12  38.8247  -81.1711  0.5176E-13
2012   2   1  12  38.8747  -81.1711  0.6047E-13
2012   2   1  12  38.9247  -81.1711  0.4625E-13
2012   2   1  12  38.9747  -81.1711  0.4474E-13
2012   2   1  12  39.0247  -81.1711  0.2362E-13
2012   2   1  12  39.0747  -81.1711  0.1036E-13
2012   2   1  12  39.1247  -81.1711  0.7212E-15
2012   2   1  12  38.5747  -81.1211  0.3777E-15
2012   2   1  12  38.6247  -81.1211  0.7474E-15
2012   2   1  12  38.6747  -81.1211  0.5565E-14
2012   2   1  12  38.7247  -81.1211  0.1302E-13
2012   2   1  12  38.7747  -81.1211  0.2280E-13
2012   2   1  12  38.8247  -81.1211  0.3690E-13
2012   2   1  12  38.8747  -81.1211  0.5606E-13
2012   2   1  12  38.9247  -81.1211  0.5106E-13
2012   2   1  12  38.9747  -81.1211  0.4291E-13
2012   2   1  12  39.0247  -81.1211  0.4105E-13
2012   2   1  12  39.0747  -81.1211  0.1679E-13
2012   2   1  12  39.1247  -81.1211  0.6583E-14
2012   2   1  12  38.5747  -81.0711  0.1888E-15
2012   2   1  12  38.6247  -81.0711  0.9332E-15
2012   2   1  12  38.6747  -81.0711  0.5015E-14
2012   2   1  12  38.7247  -81.0711  0.8960E-14
2012   2   1  12  38.7747  -81.0711  0.1770E-13
2012   2   1  12  38.8247  -81.0711  0.3264E-13
2012   2   1  12  38.8747  -81.0711  0.3975E-13
2012   2   1  12  38.9247  -81.0711  0.5154E-13
2012   2   1  12  38.9747  -81.0711  0.4393E-13
2012   2   1  12  39.0247  -81.0711  0.3920E-13
2012   2   1  12  39.0747  -81.0711  0.2872E-13
2012   2   1  12  39.1247  -81.0711  0.1252E-13
2012   2   1  12  39.1747  -81.0711  0.2666E-14
2012   2   1  12  38.5747  -81.0211  0.3777E-15
2012   2   1  12  38.6247  -81.0211  0.5552E-15
2012   2   1  12  38.6747  -81.0211  0.4076E-14
2012   2   1  12  38.7247  -81.0211  0.8944E-14
2012   2   1  12  38.7747  -81.0211  0.1403E-13
2012   2   1  12  38.8247  -81.0211  0.2614E-13
2012   2   1  12  38.8747  -81.0211  0.3240E-13
2012   2   1  12  38.9247  -81.0211  0.4143E-13
2012   2   1  12  38.9747  -81.0211  0.4295E-13
2012   2   1  12  39.0247  -81.0211  0.3982E-13
2012   2   1  12  39.0747  -81.0211  0.3774E-13
2012   2   1  12  39.1247  -81.0211  0.2171E-13
2012   2   1  12  39.1747  -81.0211  0.6067E-14
2012   2   1  12  39.2247  -81.0211  0.5380E-15
2012   2   1  12  38.5747  -80.9711  0.1889E-15
2012   2   1  12  38.6247  -80.9711  0.3780E-15
2012   2   1  12  38.6747  -80.9711  0.3349E-14
2012   2   1  12  38.7247  -80.9711  0.8410E-14
2012   2   1  12  38.7747  -80.9711  0.9938E-14
2012   2   1  12  38.8247  -80.9711  0.1879E-13
2012   2   1  12  38.8747  -80.9711  0.2915E-13
2012   2   1  12  38.9247  -80.9711  0.4010E-13
2012   2   1  12  38.9747  -80.9711  0.4199E-13
2012   2   1  12  39.0247  -80.9711  0.3617E-13
2012   2   1  12  39.0747  -80.9711  0.3795E-13
2012   2   1  12  39.1247  -80.9711  0.3002E-13
2012   2   1  12  39.1747  -80.9711  0.1735E-13
2012   2   1  12  39.2247  -80.9711  0.4897E-14
2012   2   1  12  39.2747  -80.9711  0.6915E-15
2012   2   1  12  38.5747  -80.9211  0.3778E-15
2012   2   1  12  38.6747  -80.9211  0.3325E-14
2012   2   1  12  38.7247  -80.9211  0.6407E-14
2012   2   1  12  38.7747  -80.9211  0.8486E-14
2012   2   1  12  38.8247  -80.9211  0.1553E-13
2012   2   1  12  38.8747  -80.9211  0.2422E-13
2012   2   1  12  38.9247  -80.9211  0.3039E-13
2012   2   1  12  38.9747  -80.9211  0.4121E-13
2012   2   1  12  39.0247  -80.9211  0.3563E-13
2012   2   1  12  39.0747  -80.9211  0.2854E-13
2012   2   1  12  39.1247  -80.9211  0.3453E-13
2012   2   1  12  39.1747  -80.9211  0.2529E-13
2012   2   1  12  39.2247  -80.9211  0.1267E-13
2012   2   1  12  39.2747  -80.9211  0.1745E-14
2012   2   1  12  39.3247  -80.9211  0.1730E-15
2012   2   1  12  38.6247  -80.8711  0.1889E-15
2012   2   1  12  38.6747  -80.8711  0.3529E-14
2012   2   1  12  38.7247  -80.8711  0.5992E-14
2012   2   1  12  38.7747  -80.8711  0.7602E-14
2012   2   1  12  38.8247  -80.8711  0.1146E-13
2012   2   1  12  38.8747  -80.8711  0.2052E-13
2012   2   1  12  38.9247  -80.8711  0.2459E-13
2012   2   1  12  38.9747  -80.8711  0.3579E-13
2012   2   1  12  39.0247  -80.8711  0.3355E-13
2012   2   1  12  39.0747  -80.8711  0.3081E-13
2012   2   1  12  39.1247  -80.8711  0.2567E-13
2012   2   1  12  39.1747  -80.8711  0.2837E-13
2012   2   1  12  39.2247  -80.8711  0.2106E-13
2012   2   1  12  39.2747  -80.8711  0.6286E-14
2012   2   1  12  39.3247  -80.8711  0.3461E-15
2012   2   1  12  38.6247  -80.8211  0.3778E-15
2012   2   1  12  38.6747  -80.8211  0.2596E-14
2012   2   1  12  38.7247  -80.8211  0.4881E-14
2012   2   1  12  38.7747  -80.8211  0.6669E-14
2012   2   1  12  38.8247  -80.8211  0.1011E-13
2012   2   1  12  38.8747  -80.8211  0.1618E-13
2012   2   1  12  38.9247  -80.8211  0.2741E-13
2012   2   1  12  38.9747  -80.8211  0.3031E-13
2012   2   1  12  39.0247  -80.8211  0.3142E-13
2012   2   1  12  39.0747  -80.8211  0.2981E-13
2012   2   1  12  39.1247  -80.8211  0.2541E-13
2012   2   1  12  39.1747  -80.8211  0.2757E-13
2012   2   1  12  39.2247  -80.8211  0.2291E-13
2012   2   1  12  39.2747  -80.8211  0.1231E-13
2012   2   1  12  39.3247  -80.8211  0.4615E-14
2012   2   1  12  39.3747  -80.8211  0.1731E-15
2012   2   1  12  38.6247  -80.7711  0.3778E-15
2012   2   1  12  38.6747  -80.7711  0.1852E-14
2012   2   1  12  38.7247  -80.7711  0.4003E-14
2012   2   1  12  38.7747  -80.7711  0.5788E-14
2012   2   1  12  38.8247  -80.7711  0.9934E-14
2012   2   1  12  38.8747  -80.7711  0.1566E-13
2012   2   1  12  38.9247  -80.7711  0.1922E-13
2012   2   1  12  38.9747  -80.7711  0.2853E-13
2012   2   1  12  39.0247  -80.7711  0.3289E-13
2012   2   1  12  39.0747  -80.7711  0.2651E-13
2012   2   1  12  39.1247  -80.7711  0.2676E-13
2012   2   1  12  39.1747  -80.7711  0.2050E-13
2012   2   1  12  39.2247  -80.7711  0.2311E-13
2012   2   1  12  39.2747  -80.7711  0.1800E-13
2012   2   1  12  39.3247  -80.7711  0.8130E-14
2012   2   1  12  39.3747  -80.7711  0.1381E-14
2012   2   1  12  38.6247  -80.7211  0.3720E-15
2012   2   1  12  38.6747  -80.7211  0.2023E-14
2012   2   1  12  38.7247  -80.7211  0.3967E-14
2012   2   1  12  38.7747  -80.7211  0.3351E-14
2012   2   1  12  38.8247  -80.7211  0.7132E-14
2012   2   1  12  38.8747  -80.7211  0.1476E-13
2012   2   1  12  38.9247  -80.7211  0.1424E-13
2012   2   1  12  38.9747  -80.7211  0.2205E-13
2012   2   1  12  39.0247  -80.7211  0.3509E-13
2012   2   1  12  39.0747  -80.7211  0.2538E-13
2012   2   1  12  39.1247  -80.7211  0.2586E-13
2012   2   1  12  39.1747  -80.7211  0.2123E-13
2012   2   1  12  39.2247  -80.7211  0.1881E-13
2012   2   1  12  39.2747  -80.7211  0.2305E-13
2012   2   1  12  39.3247  -80.7211  0.1227E-13
2012   2   1  12  39.3747  -80.7211  0.5057E-14
2012   2   1  12  39.4247  -80.7211  0.4940E-15
2012   2   1  12  38.6247  -80.6711  0.5610E-15
2012   2   1  12  38.6747  -80.6711  0.1295E-14
2012   2   1  12  38.7247  -80.6711  0.3286E-14
2012   2   1  12  38.7747  -80.6711  0.4471E-14
2012   2   1  12  38.8247  -80.6711  0.5665E-14
2012   2   1  12  38.8747  -80.6711  0.1266E-13
2012   2   1  12  38.9247  -80.6711  0.1346E-13
2012   2   1  12  38.9747  -80.6711  0.1756E-13
2012   2   1  12  39.0247  -80.6711  0.2878E-13
2012   2   1  12  39.0747  -80.6711  0.2997E-13
