YEAR  MO  DA  HR      LAT       LON   CO2 10000
2012   2   1  12  38.4848  -96.2173  0.3887E-14
2012   2   1  12  38.3348  -96.1673  0.4297E-14
2012   2   1  12  38.3848  -96.1673  0.3130E-13
2012   2   1  12  38.4348  -96.1673  0.4234E-14
2012   2   1  12  38.4848  -96.1673  0.6547E-13
2012   2   1  12  38.5348  -96.1673  0.3889E-14
2012   2   1  12  38.2848  -96.1173  0.3558E-14
2012   2   1  12  38.3348  -96.1173  0.1675E-13
2012   2   1  12  38.3848  -96.1173  0.7006E-13
2012   2   1  12  38.4348  -96.1173  0.3600E-13
2012   2   1  12  38.4848  -96.1173  0.5382E-13
2012   2   1  12  38.5348  -96.1173  0.4916E-13
2012   2   1  12  39.1848  -96.1173  0.8361E-13
2012   2   1  12  39.2348  -96.1173  0.4051E-11
2012   2   1  12  39.2848  -96.1173  0.1185E-10
2012   2   1  12  38.3348  -96.0673  0.3477E-13
2012   2   1  12  38.3848  -96.0673  0.3326E-13
2012   2   1  12  38.4348  -96.0673  0.9521E-13
2012   2   1  12  38.4848  -96.0673  0.5897E-13
2012   2   1  12  38.5348  -96.0673  0.7924E-13
2012   2   1  12  38.5848  -96.0673  0.7073E-13
2012   2   1  12  38.6348  -96.0673  0.5121E-13
2012   2   1  12  39.0348  -96.0673  0.7941E-13
2012   2   1  12  39.0848  -96.0673  0.1762E-12
2012   2   1  12  39.1348  -96.0673  0.1106E-11
2012   2   1  12  39.1848  -96.0673  0.6143E-11
2012   2   1  12  39.2348  -96.0673  0.2391E-10
2012   2   1  12  39.2848  -96.0673  0.1993E-11
2012   2   1  12  38.3348  -96.0173  0.3561E-14
2012   2   1  12  38.3848  -96.0173  0.2801E-13
2012   2   1  12  38.4348  -96.0173  0.3156E-13
2012   2   1  12  38.4848  -96.0173  0.1049E-12
2012   2   1  12  38.5348  -96.0173  0.1153E-12
2012   2   1  12  38.5848  -96.0173  0.9099E-13
2012   2   1  12  38.6348  -96.0173  0.6176E-13
2012   2   1  12  38.6848  -96.0173  0.8049E-13
2012   2   1  12  38.7348  -96.0173  0.9994E-13
2012   2   1  12  38.7848  -96.0173  0.8708E-13
2012   2   1  12  38.8348  -96.0173  0.9104E-13
2012   2   1  12  38.8848  -96.0173  0.4993E-13
2012   2   1  12  38.9348  -96.0173  0.6814E-13
2012   2   1  12  38.9848  -96.0173  0.2369E-12
2012   2   1  12  39.0348  -96.0173  0.5767E-12
2012   2   1  12  39.0848  -96.0173  0.1912E-11
2012   2   1  12  39.1348  -96.0173  0.6066E-11
2012   2   1  12  39.1848  -96.0173  0.1516E-10
2012   2   1  12  39.2348  -96.0173  0.5473E-11
2012   2   1  12  39.2848  -96.0173  0.1284E-13
2012   2   1  12  38.3348  -95.9673  0.1066E-13
2012   2   1  12  38.3848  -95.9673  0.3194E-13
2012   2   1  12  38.4348  -95.9673  0.1057E-12
2012   2   1  12  38.4848  -95.9673  0.1434E-12
2012   2   1  12  38.5348  -95.9673  0.1750E-12
2012   2   1  12  38.5848  -95.9673  0.2555E-12
2012   2   1  12  38.6348  -95.9673  0.3250E-12
2012   2   1  12  38.6848  -95.9673  0.4325E-12
2012   2   1  12  38.7348  -95.9673  0.3592E-12
2012   2   1  12  38.7848  -95.9673  0.2941E-12
2012   2   1  12  38.8348  -95.9673  0.2326E-12
2012   2   1  12  38.8848  -95.9673  0.1830E-12
2012   2   1  12  38.9348  -95.9673  0.3243E-12
2012   2   1  12  38.9848  -95.9673  0.7842E-12
2012   2   1  12  39.0348  -95.9673  0.2268E-11
2012   2   1  12  39.0848  -95.9673  0.5050E-11
2012   2   1  12  39.1348  -95.9673  0.9836E-11
2012   2   1  12  39.1848  -95.9673  0.5923E-11
2012   2   1  12  39.2348  -95.9673  0.2053E-12
2012   2   1  12  38.3848  -95.9173  0.1066E-13
2012   2   1  12  38.4348  -95.9173  0.1267E-13
2012   2   1  12  38.4848  -95.9173  0.5122E-13
2012   2   1  12  38.5348  -95.9173  0.1568E-12
2012   2   1  12  38.5848  -95.9173  0.2477E-12
2012   2   1  12  38.6348  -95.9173  0.3787E-12
2012   2   1  12  38.6848  -95.9173  0.3889E-12
2012   2   1  12  38.7348  -95.9173  0.4546E-12
2012   2   1  12  38.7848  -95.9173  0.5099E-12
2012   2   1  12  38.8348  -95.9173  0.6391E-12
2012   2   1  12  38.8848  -95.9173  0.9808E-12
2012   2   1  12  38.9348  -95.9173  0.1270E-11
2012   2   1  12  38.9848  -95.9173  0.2655E-11
2012   2   1  12  39.0348  -95.9173  0.4392E-11
2012   2   1  12  39.0848  -95.9173  0.6617E-11
2012   2   1  12  39.1348  -95.9173  0.4708E-11
2012   2   1  12  39.1848  -95.9173  0.6951E-12
2012   2   1  12  39.2348  -95.9173  0.5032E-14
2012   2   1  12  38.4348  -95.8673  0.7273E-14
2012   2   1  12  38.4848  -95.8673  0.4217E-13
2012   2   1  12  38.5348  -95.8673  0.7359E-13
2012   2   1  12  38.5848  -95.8673  0.1581E-12
2012   2   1  12  38.6348  -95.8673  0.1719E-12
2012   2   1  12  38.6848  -95.8673  0.1897E-12
2012   2   1  12  38.7348  -95.8673  0.3202E-12
2012   2   1  12  38.7848  -95.8673  0.5742E-12
2012   2   1  12  38.8348  -95.8673  0.7699E-12
2012   2   1  12  38.8848  -95.8673  0.1099E-11
2012   2   1  12  38.9348  -95.8673  0.2010E-11
2012   2   1  12  38.9848  -95.8673  0.2992E-11
2012   2   1  12  39.0348  -95.8673  0.4188E-11
2012   2   1  12  39.0848  -95.8673  0.3250E-11
2012   2   1  12  39.1348  -95.8673  0.1041E-11
2012   2   1  12  39.1848  -95.8673  0.6024E-13
2012   2   1  12  38.4348  -95.8173  0.1124E-13
2012   2   1  12  38.4848  -95.8173  0.6632E-13
