Day,JEC,JSC,TCG
1,0.541047526,0.038170313,0.569393268
2,0.952739295,0.4438096,0.785078129
3,0.239607721,0.819127374,0.721296042
4,0.0116811,0.899838506,0.418162913
5,0.690909364,0.101564669,0.492463914
6,0.461314023,0.424543732,0.318370576
7,0.793050493,0.819535411,0.46107676
8,0.735631568,0.21063061,0.813518697
9,0.895542533,0.344794527,0.360443252
10,0.12304964,0.414376673,0.443236465
11,0.367901144,0.302634314,0.585367984
12,0.86884534,0.467254824,0.875154332
13,0.344483526,0.754740377,0.539338707
14,0.492933934,0.494363433,0.139761506
15,0.288711138,0.789790682,0.010962721
16,0.079215966,0.963738387,0.964889089
17,0.457253714,0.395130764,0.848601954
18,0.355194434,0.546743903,0.72633829
19,0.863313893,0.234505979,0.722609608
20,0.446100138,0.918012464,0.2576401
21,0.156523476,0.375507351,0.681680611
22,0.577311764,0.960323061,0.625078537
23,0.114737326,0.797359608,0.152143469
24,0.543452439,0.817925398,0.352186781
25,0.429002704,0.520614555,0.984489534
26,0.762699637,0.299638531,0.318957325
27,0.180904709,0.744264789,0.658025749
28,0.379667015,0.966407269,0.137152839
29,0.295441376,0.853952526,0.034857206
30,0.879149152,0.328797691,0.120228827
31,0.021644623,0.5656752,0.739243642
32,0.163117248,0.83716712,0.020299826
33,0.791320098,0.438989849,0.584242824
34,0.970406551,0.919462423,0.15919786
35,0.162548755,0.271716011,0.729392753
36,0.518289191,0.117127525,0.455523635
37,0.207205791,0.153445388,0.218207671
38,0.079045286,0.77542235,0.716763928
39,0.82216614,0.089260896,0.480795385
40,0.586885486,0.958504181,0.700216667
41,0.271089147,0.757521897,0.663518724
42,0.368546826,0.211168667,0.999423581
43,0.421758833,0.405081443,0.144742188
44,0.391340127,0.992272271,0.792568231
45,0.31887465,0.276872443,0.721342866
46,0.322681726,0.037033806,0.776191702
47,0.829777764,0.084722128,0.029260643
48,0.460214579,0.366842432,0.434431888
49,0.78800275,0.433810037,0.522646183
50,0.182609671,0.364252018,0.063824642
51,0.190308465,0.48255014,0.200102215
52,0.238316956,0.178510655,0.25464427
53,0.866102557,0.992972775,0.81395347
54,0.929438134,0.022647161,0.527487697
55,0.530852757,0.50920122,0.104351062
56,0.286002236,0.638706248,0.529867417
57,0.626370785,0.172736605,0.541396141
58,0.58217928,0.92733294,0.053013949
59,0.811438653,0.553705377,0.150681667
60,0.056502746,0.867055129,0.713790949
61,0.697098774,0.263133639,0.368035647
62,0.781181198,0.091332312,0.1244891
63,0.956621266,0.096965661,0.614225546
64,0.647558172,0.095699898,0.617965891
65,0.707622505,0.524821886,0.133366412
66,0.348144231,0.565453031,0.502759479
67,0.037386144,0.077243987,0.668018256
68,0.629161101,0.015433701,0.710096026
69,0.023804782,0.187665172,0.327878285
70,0.91601484,0.141795131,0.794118649
71,0.705420137,0.953440978,0.591450351
72,0.409923666,0.159655193,0.39309176
73,0.838717098,0.421452302,0.905003196
74,0.163265725,0.119462491,0.335073999
75,0.587318008,0.399780728,0.781418395
76,0.954981476,0.799002311,0.422562103
77,0.539991173,0.333508591,0.168675926
78,0.621513991,0.164016016,0.612012455
79,0.505828306,0.864311323,0.094816745
80,0.530203657,0.335711752,0.762597089
81,0.376192203,0.105189085,0.926872993
82,0.144939799,0.777561109,0.081463238
83,0.576733944,0.312485197,0.517782301
84,0.324078636,0.710705557,0.391335242
85,0.691431153,0.030025388,0.846744138
86,0.172435829,0.0802179,0.338210697
