Day,JEC,JSC,TCG
1,0.435413099,0.802055133,0.496238538
2,0.921436586,0.024285945,0.635696934
3,0.910012503,0.517721694,0.532860379
4,0.80026797,0.343116558,0.847149814
5,0.318549714,0.010085404,0.216536227
6,0.939730836,0.749716077,0.909926081
7,0.914389624,0.50252772,0.345112601
8,0.500940986,0.462178022,0.573328599
9,0.272716439,0.816216852,0.599050069
10,0.110546069,0.542407974,0.329810056
11,0.190027672,0.847898364,0.899283437
12,0.560178744,0.027006775,0.799098289
13,0.218542322,0.345708381,0.614116779
14,0.762642134,0.708234739,0.770331686
15,0.268593693,0.20795641,0.396004965
16,0.193340857,0.67995916,0.675458588
17,0.312539861,0.711662634,0.923709448
18,0.567612549,0.798718391,0.678898303
19,0.397549439,0.22843605,0.464922185
20,0.866066845,0.608096523,0.066852589
21,0.57702797,0.471605655,0.102322541
22,0.146468201,0.201652441,0.808760725
23,0.265824944,0.090498201,0.921199062
24,0.865647655,0.704796762,0.53343936
25,0.380608771,0.645087518,0.295201114
26,0.735761084,0.009198306,0.826598313
27,0.124244222,0.667862119,0.306938415
28,0.7379108,0.637739129,0.320991188
29,0.466165623,0.371043951,0.361327512
30,0.948670466,0.678534372,0.873028375
31,0.576005062,0.204120322,0.765125435
32,0.655487858,0.506663438,0.499496892
33,0.874152065,0.055927981,0.752606501
34,0.037622904,0.314259485,0.715356816
35,0.999405759,0.8402157,0.698810017
36,0.631830181,0.623741951,0.684027506
37,0.259152922,0.709262601,0.151685815
38,0.432684454,0.866660083,0.483066374
39,0.839826712,0.491540245,0.867235963
40,0.911204674,0.885048112,0.155625398
41,0.697133551,0.624612729,0.471274187
42,0.21971911,0.140755621,0.409462314
43,0.731849937,0.987787959,0.783284998
44,0.93971196,0.02127657,0.199072884
45,0.806677234,0.03645624,0.107532443
46,0.658273355,0.990600993,0.642801747
47,0.841370847,0.767907081,0.413340953
48,0.994609556,0.665097695,0.993583832
49,0.580531466,0.314898728,0.706937092
50,0.072854673,0.366009085,0.264503706
51,0.935007176,0.746204274,0.564931466
52,0.532126407,0.751828126,0.364941042
53,0.367192094,0.126128535,0.125565828
54,0.418538856,0.876860581,0.974050244
55,0.365590427,0.13310642,0.067163593
56,0.114922951,0.287004336,0.463004446
57,0.995802788,0.252655967,0.144578852
58,0.602355062,0.754239707,0.104218825
59,0.053276091,0.604116236,0.341836715
60,0.420684829,0.982183326,0.619126012
61,0.056955555,0.892658277,0.282291374
62,0.465013119,0.439199963,0.878793629
63,0.624212924,0.292916381,0.298522206
64,0.623550577,0.205427602,0.093530157
65,0.360072579,0.497651231,0.745360138
66,0.505608153,0.782438073,0.319845052
