"","Plant Number","State","Plant Name","FIPS State Code","FIPS County Code","Latitude","Longitude","Centroid","Generators","Combustion Status","Capacity Factor","Nameplate Capacity","Annual Heat Input","Annual Net Generation","Annual NOx Emissions","Annual SO2 Emissions","Annual CO2 Emissions","Annual CH4 Emissions","Annual N20 Emissions","Annual Hg Emissions","Annual NOx Output Emission Rate","Ozone Season NOx Output Emission Rate","Annual SO2 Output Emission Rate","Annual CO2 Output Emission Rate","Annual CH4 Output Emission Rate","Annual N2O Output Emission Rate","Annual CO2 Equivalent Emission Rate","Annual Hg Output Emission Rate","Annual NOx Output Emission Rate","Ozone Season NOx Input Emission Rate","Annual SO2 Input Emission Rate","Annual CO2 Input Emission Rate","Annual NOx Combustion Output Emission Rate","Ozone Season NOx Combustion Output Emission Rate","Annual SO2 Combustion Output Emission Rate","Annual CO2 Combustion Output Emission Rate","Annual CH4 Combustion Output Emission Rate","Annual N2O Combustion Output Emission Rate","Unadjusted Annual NOx Emissions","Unadjusted Ozone Season NOx Emissions","Unadjusted Annual SO2 Emissions","Unadjusted Annual CO2 Emissions","Unadjusted Annual CH4 Emissions","Unadjusted Annual N2O Emissions","Unadjusted Annual Heat Input","Nomial Heat Rate","Annual Coal Net Generation","Annual Oil Net Generation","Annual Gas Net Generation","Annual Nuclear Net Generation","Annual Hydro Net Generation","Annual Biomass Net Generation","Annual Wind Net Generation","Annual Solar Net Generation","Annual Geothermal Net Generation","Annual Other Fossil Net Generation","Annual Unknown Net Generation","Plant Annual Nonrenewable Net Generation","NewFIPS","Height","Diameter","Velocity"
"150",150,"AL","Big Escambia Creek",1,53,31.0706,-87.3628,0,3,1,0,"3.6","0","0","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","-99","0","0","0","0","0","0","0","0","0","0","0","0",1053,9.4488,0.5136,15.24
"168",168,"AL","Georgia-Pacific Consr Prods LP-Naheola",1,23,32.2268,-88.0252,0,3,1,0.4156,"78.3","1,983,191.40","285,076.00","250.82","514.88","50,741.90","22,616.90","8,268.30",-99,"1.7596","1.8349","3.6122","355.99","79.34","29","366.65",-99,0.2529,0.2566,0.5192,51.17,"1.7596","1.8349","3.6122","355.99","79.34","29","2,131.88","911.34","4,376.35","1,617,013.20","192,239.20","70,278.60","16,856,705.50","6,956.71","43,205.00","484.6","47,595.60","0","0","193,790.90","0","0","0","0","0","91,285.10",1023,22.4671,1.0156,9.8665
"214",214,"AL","Wheeler Dam",1,79,34.8069,-87.3819,0,11,0,0.3121,"404","0","1,104,664.00","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","-99","0","0","0","0","1,104,664.00","0","0","0","0","0","0","0",1079,30.48,1.7983,15.42
"216",216,"AL","Wilson Dam",1,77,34.7978,-87.6254,0,21,0,0.3695,"666.7","0","2,157,779.00","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","-99","0","0","0","0","2,157,779.00","0","0","0","0","0","0","0",1077,9.4488,0.5136,15.24
"266",266,"AR","Plum Point Energy Station",5,93,35.6644,-89.9489,0,1,1,0.6923,"720","47,155,540.90","4,366,528.00","1,530.83","3,153.24","4,944,118.10","109,683.80","164,525.70",-99,"0.7012","0.694","1.4443","2,264.55","25.12","37.68","2,276.76",-99,0.0649,0.0642,0.1337,209.69,"0.7012","0.694","1.4443","2,264.55","25.12","37.68","1,530.83","690.2","3,153.24","4,944,118.10","109,683.80","164,525.70","47,155,540.90","10,799.32","4,353,100.70","13,427.30","0","0","0","0","0","0","0","0","0","4,366,528.00",5093,9.7536,0.762,7.59
"267",267,"AR","Remmel",5,59,34.4272,-92.8941,0,3,0,0.3447,"9","0","27,177.00","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","-99","0","0","0","0","27,177.00","0","0","0","0","0","0","0",5059,10.0391,0.6525,8.8489
"296",296,"AZ","Childs",4,25,34.3511,-111.7006,0,3,0,0,"5.4","0","0","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4025,15.24,1.2192,12.19
"324",324,"AZ","Harquahala Generating Project",4,13,33.476,-113.1134,0,6,1,0.1244,"1,325.10","10,416,559.60","1,444,228.00","40.4","3.13","619,037.50","24,228.90","2,427.10",-99,"0.0559","0.0554","0.0043","857.26","16.78","1.68","858.13",-99,0.0078,0.0077,6e-04,118.86,"0.0559","0.0554","0.0043","857.26","16.78","1.68","40.4","39.74","3.13","619,037.50","24,228.90","2,427.10","10,416,559.60","7,212.55","0","0","1,444,228.00","0","0","0","0","0","0","0","0","1,444,228.00",4013,7.699,0.6231,2.0265
"372",372,"AZ","Stewart Mountain",4,13,33.5661,-111.536,0,1,0,0.3583,"13","0","40,799.00","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","-99","0","0","0","0","40,799.00","0","0","0","0","0","0","0",4013,9.144,0.6096,9.144
"515",515,"CA","Buena Vista Energy LLC",6,13,37.805,-121.6672,0,1,0,0.2943,"38","0","97,965.00","0","0","0","0","0",-99,"0","0","0","0","0","0","0",-99,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","-99","0","0","0","0","0","0","97,965.00","0","0","0","0","0",6013,10.272,1.0058,12.145
