eGRID2012 file generator sequence number,Plant state abbreviation,Plant name,DOE/EIA ORIS plant or facility code,Generator ID,Number of associated boilers,Generator status,Generator prime mover type,Generator primary fuel,Generator nameplate capacity (MW),Generator capacity factor,Generator annual net generation (MWh),Generator ozone season net generation (MWh),Generation data source,Generator year on-line,Notes
1,AK,Agrium Kenai Nitrogen Operations,54452,644A,0,RE,IC,NG,1.3,0,0,0,,1968,
2,AK,Agrium Kenai Nitrogen Operations,54452,644B,0,RE,IC,NG,1.3,0,0,0,,1968,
3,AK,Agrium Kenai Nitrogen Operations,54452,644C,0,RE,IC,NG,1.3,0,0,0,,1968,
4,AK,Agrium Kenai Nitrogen Operations,54452,644D,0,RE,IC,NG,1.3,0,0,0,,1968,
5,AK,Agrium Kenai Nitrogen Operations,54452,644E,0,RE,IC,NG,1.3,0,0,0,,1968,
6,AK,Agrium Kenai Nitrogen Operations,54452,644F,0,RE,IC,NG,1.3,0,0,0,,1968,
7,AK,Agrium Kenai Nitrogen Operations,54452,644G,0,RE,IC,NG,1.3,0,0,0,,1968,
8,AK,Agrium Kenai Nitrogen Operations,54452,744A,0,OS,GT,NG,2.5,0,0,0,,1977,
9,AK,Agrium Kenai Nitrogen Operations,54452,744B,0,OS,GT,NG,2.5,0,0,0,,1977,
10,AK,Agrium Kenai Nitrogen Operations,54452,744C,0,OS,GT,NG,2.5,0,0,0,,1977,
11,AK,Agrium Kenai Nitrogen Operations,54452,744D,0,OS,GT,NG,2.5,0,0,0,,1977,
12,AK,Agrium Kenai Nitrogen Operations,54452,744E,0,OS,GT,NG,2.5,0,0,0,,1977,
13,AK,Alakanuk,57053,G309,0,IP,IC,JF,0.5,0,0,0,,,
14,AK,Alakanuk,57053,UNIT1,0,OP,IC,JF,0.4,0,0,0,,2008,
15,AK,Alakanuk,57053,UNIT2,0,OP,IC,JF,0.5,0,0,0,,1999,
16,AK,Alakanuk,57053,UNIT3,0,OP,IC,JF,0.4,0,0,0,,1993,
