YEAR  MO  DA  HR      LAT       LON   CO2 10000
2012   1   1  12  36.2168  -81.6746  0.5499E-06
2012   1   1  12  36.2668  -81.6746  0.4908E-07
2012   1   1  12  36.1668  -81.6246  0.1666E-08
2012   1   1  12  36.2168  -81.6246  0.3850E-06
2012   1   1  12  36.2668  -81.6246  0.7300E-06
2012   1   1  12  36.3168  -81.6246  0.7924E-07
2012   1   1  12  36.1668  -81.5746  0.2388E-07
2012   1   1  12  36.2168  -81.5746  0.1878E-06
2012   1   1  12  36.2668  -81.5746  0.2765E-06
2012   1   1  12  36.3168  -81.5746  0.4828E-06
2012   1   1  12  36.3668  -81.5746  0.9442E-07
2012   1   1  12  36.4168  -81.5746  0.2665E-08
2012   1   1  12  36.1668  -81.5246  0.3391E-07
2012   1   1  12  36.2168  -81.5246  0.1335E-06
2012   1   1  12  36.2668  -81.5246  0.1191E-06
2012   1   1  12  36.3168  -81.5246  0.2421E-06
2012   1   1  12  36.3668  -81.5246  0.3579E-06
2012   1   1  12  36.4168  -81.5246  0.9522E-07
2012   1   1  12  36.4668  -81.5246  0.6897E-08
2012   1   1  12  36.5168  -81.5246  0.8942E-10
2012   1   1  12  36.1668  -81.4746  0.3029E-07
2012   1   1  12  36.2168  -81.4746  0.1053E-06
2012   1   1  12  36.2668  -81.4746  0.8770E-07
2012   1   1  12  36.3168  -81.4746  0.1062E-06
2012   1   1  12  36.3668  -81.4746  0.2126E-06
2012   1   1  12  36.4168  -81.4746  0.2958E-06
2012   1   1  12  36.4668  -81.4746  0.8920E-07
2012   1   1  12  36.5168  -81.4746  0.1057E-07
2012   1   1  12  36.5668  -81.4746  0.8948E-10
2012   1   1  12  36.1168  -81.4246  0.1020E-08
2012   1   1  12  36.1668  -81.4246  0.1496E-07
2012   1   1  12  36.2168  -81.4246  0.7425E-07
2012   1   1  12  36.2668  -81.4246  0.8280E-07
2012   1   1  12  36.3168  -81.4246  0.7256E-07
2012   1   1  12  36.3668  -81.4246  0.9833E-07
2012   1   1  12  36.4168  -81.4246  0.1964E-06
2012   1   1  12  36.4668  -81.4246  0.2394E-06
2012   1   1  12  36.5168  -81.4246  0.8227E-07
2012   1   1  12  36.5668  -81.4246  0.1319E-07
2012   1   1  12  36.6168  -81.4246  0.3582E-09
2012   1   1  12  36.1668  -81.3746  0.4761E-08
2012   1   1  12  36.2168  -81.3746  0.4321E-07
2012   1   1  12  36.2668  -81.3746  0.6951E-07
2012   1   1  12  36.3168  -81.3746  0.6681E-07
2012   1   1  12  36.3668  -81.3746  0.6662E-07
2012   1   1  12  36.4168  -81.3746  0.9124E-07
2012   1   1  12  36.4668  -81.3746  0.1764E-06
2012   1   1  12  36.5168  -81.3746  0.2033E-06
2012   1   1  12  36.5668  -81.3746  0.7481E-07
2012   1   1  12  36.6168  -81.3746  0.1606E-07
2012   1   1  12  36.6668  -81.3746  0.7616E-09
2012   1   1  12  36.1668  -81.3246  0.3401E-09
2012   1   1  12  36.2168  -81.3246  0.1301E-07
2012   1   1  12  36.2668  -81.3246  0.4571E-07
2012   1   1  12  36.3168  -81.3246  0.6331E-07
2012   1   1  12  36.3668  -81.3246  0.5584E-07
2012   1   1  12  36.4168  -81.3246  0.5633E-07
2012   1   1  12  36.4668  -81.3246  0.8920E-07
2012   1   1  12  36.5168  -81.3246  0.1615E-06
2012   1   1  12  36.5668  -81.3246  0.1637E-06
2012   1   1  12  36.6168  -81.3246  0.5939E-07
2012   1   1  12  36.6668  -81.3246  0.1368E-07
2012   1   1  12  36.7168  -81.3246  0.1868E-08
2012   1   1  12  36.2168  -81.2746  0.5955E-09
2012   1   1  12  36.2668  -81.2746  0.1316E-07
2012   1   1  12  36.3168  -81.2746  0.3830E-07
2012   1   1  12  36.3668  -81.2746  0.5565E-07
2012   1   1  12  36.4168  -81.2746  0.5232E-07
2012   1   1  12  36.4668  -81.2746  0.5049E-07
2012   1   1  12  36.5168  -81.2746  0.8945E-07
2012   1   1  12  36.5668  -81.2746  0.1486E-06
2012   1   1  12  36.6168  -81.2746  0.1339E-06
2012   1   1  12  36.6668  -81.2746  0.5223E-07
2012   1   1  12  36.7168  -81.2746  0.1447E-07
2012   1   1  12  36.7668  -81.2746  0.2258E-08
2012   1   1  12  36.2668  -81.2246  0.1107E-08
2012   1   1  12  36.3168  -81.2246  0.1141E-07
2012   1   1  12  36.3668  -81.2246  0.3314E-07
2012   1   1  12  36.4168  -81.2246  0.4970E-07
2012   1   1  12  36.4668  -81.2246  0.5009E-07
2012   1   1  12  36.5168  -81.2246  0.4718E-07
2012   1   1  12  36.5668  -81.2246  0.8502E-07
2012   1   1  12  36.6168  -81.2246  0.1327E-06
2012   1   1  12  36.6668  -81.2246  0.1183E-06
2012   1   1  12  36.7168  -81.2246  0.4957E-07
2012   1   1  12  36.7668  -81.2246  0.1398E-07
2012   1   1  12  36.8168  -81.2246  0.2454E-08
2012   1   1  12  36.8668  -81.2246  0.3144E-09
2012   1   1  12  36.3168  -81.1746  0.2555E-09
2012   1   1  12  36.3668  -81.1746  0.9638E-08
2012   1   1  12  36.4168  -81.1746  0.2774E-07
2012   1   1  12  36.4668  -81.1746  0.4285E-07
2012   1   1  12  36.5168  -81.1746  0.4546E-07
2012   1   1  12  36.5668  -81.1746  0.4763E-07
2012   1   1  12  36.6168  -81.1746  0.8419E-07
2012   1   1  12  36.6668  -81.1746  0.1179E-06
2012   1   1  12  36.7168  -81.1746  0.1047E-06
2012   1   1  12  36.7668  -81.1746  0.5061E-07
2012   1   1  12  36.8168  -81.1746  0.1453E-07
2012   1   1  12  36.8668  -81.1746  0.3534E-08
2012   1   1  12  36.9168  -81.1746  0.3896E-09
2012   1   1  12  36.3168  -81.1246  0.1704E-09
2012   1   1  12  36.3668  -81.1246  0.1193E-08
2012   1   1  12  36.4168  -81.1246  0.1020E-07
2012   1   1  12  36.4668  -81.1246  0.2347E-07
2012   1   1  12  36.5168  -81.1246  0.3665E-07
2012   1   1  12  36.5668  -81.1246  0.4608E-07
2012   1   1  12  36.6168  -81.1246  0.4701E-07
2012   1   1  12  36.6668  -81.1246  0.8159E-07
2012   1   1  12  36.7168  -81.1246  0.1032E-06
2012   1   1  12  36.7668  -81.1246  0.9414E-07
2012   1   1  12  36.8168  -81.1246  0.5425E-07
2012   1   1  12  36.8668  -81.1246  0.1822E-07
2012   1   1  12  36.9168  -81.1246  0.4315E-08
2012   1   1  12  36.9668  -81.1246  0.7947E-09
2012   1   1  12  36.3668  -81.0746  0.1705E-09
2012   1   1  12  36.4168  -81.0746  0.1535E-08
2012   1   1  12  36.4668  -81.0746  0.8870E-08
2012   1   1  12  36.5168  -81.0746  0.1892E-07
2012   1   1  12  36.5668  -81.0746  0.3642E-07
2012   1   1  12  36.6168  -81.0746  0.4260E-07
2012   1   1  12  36.6668  -81.0746  0.5259E-07
2012   1   1  12  36.7168  -81.0746  0.7162E-07
2012   1   1  12  36.7668  -81.0746  0.9301E-07
2012   1   1  12  36.8168  -81.0746  0.8685E-07
2012   1   1  12  36.8668  -81.0746  0.5515E-07
2012   1   1  12  36.9168  -81.0746  0.2239E-07
2012   1   1  12  36.9668  -81.0746  0.7377E-08
2012   1   1  12  37.0168  -81.0746  0.1080E-08
2012   1   1  12  36.4168  -81.0246  0.1705E-09
2012   1   1  12  36.4668  -81.0246  0.2397E-08
2012   1   1  12  36.5168  -81.0246  0.7518E-08
2012   1   1  12  36.5668  -81.0246  0.1689E-07
2012   1   1  12  36.6168  -81.0246  0.3404E-07
2012   1   1  12  36.6668  -81.0246  0.4344E-07
2012   1   1  12  36.7168  -81.0246  0.5335E-07
2012   1   1  12  36.7668  -81.0246  0.6006E-07
2012   1   1  12  36.8168  -81.0246  0.7836E-07
2012   1   1  12  36.8668  -81.0246  0.7926E-07
2012   1   1  12  36.9168  -81.0246  0.6087E-07
2012   1   1  12  36.9668  -81.0246  0.2785E-07
2012   1   1  12  37.0168  -81.0246  0.9633E-08
2012   1   1  12  37.0668  -81.0246  0.1772E-08
2012   1   1  12  36.4168  -80.9746  0.1706E-09
2012   1   1  12  36.4668  -80.9746  0.3413E-09
2012   1   1  12  36.5168  -80.9746  0.2399E-08
2012   1   1  12  36.5668  -80.9746  0.6018E-08
2012   1   1  12  36.6168  -80.9746  0.1561E-07
2012   1   1  12  36.6668  -80.9746  0.3000E-07
2012   1   1  12  36.7168  -80.9746  0.4282E-07
2012   1   1  12  36.7668  -80.9746  0.4874E-07
2012   1   1  12  36.8168  -80.9746  0.5224E-07
2012   1   1  12  36.8668  -80.9746  0.6564E-07
2012   1   1  12  36.9168  -80.9746  0.6497E-07
2012   1   1  12  36.9668  -80.9746  0.5521E-07
2012   1   1  12  37.0168  -80.9746  0.3226E-07
2012   1   1  12  37.0668  -80.9746  0.1455E-07
2012   1   1  12  37.1168  -80.9746  0.4537E-08
2012   1   1  12  37.1668  -80.9746  0.1052E-08
2012   1   1  12  36.5168  -80.9246  0.6830E-09
2012   1   1  12  36.5668  -80.9246  0.2970E-08
2012   1   1  12  36.6168  -80.9246  0.5700E-08
2012   1   1  12  36.6668  -80.9246  0.1529E-07
2012   1   1  12  36.7168  -80.9246  0.2837E-07
2012   1   1  12  36.7668  -80.9246  0.4125E-07
2012   1   1  12  36.8168  -80.9246  0.4158E-07
2012   1   1  12  36.8668  -80.9246  0.4285E-07
2012   1   1  12  36.9168  -80.9246  0.5705E-07
2012   1   1  12  36.9668  -80.9246  0.5972E-07
2012   1   1  12  37.0168  -80.9246  0.5154E-07
2012   1   1  12  37.0668  -80.9246  0.3213E-07
2012   1   1  12  37.1168  -80.9246  0.1680E-07
2012   1   1  12  37.1668  -80.9246  0.5352E-08
2012   1   1  12  37.2168  -80.9246  0.1399E-08
2012   1   1  12  37.2668  -80.9246  0.2258E-09
2012   1   1  12  36.5168  -80.8746  0.2846E-09
2012   1   1  12  36.5668  -80.8746  0.3418E-09
2012   1   1  12  36.6168  -80.8746  0.2429E-08
2012   1   1  12  36.6668  -80.8746  0.5975E-08
2012   1   1  12  36.7168  -80.8746  0.1491E-07
2012   1   1  12  36.7668  -80.8746  0.2267E-07
2012   1   1  12  36.8168  -80.8746  0.3285E-07
2012   1   1  12  36.8668  -80.8746  0.3347E-07
2012   1   1  12  36.9168  -80.8746  0.3610E-07
2012   1   1  12  36.9668  -80.8746  0.4556E-07
2012   1   1  12  37.0168  -80.8746  0.5112E-07
